risk_factor,country,year,value,confidence_intervals,sample_size,source
Malnutrition (wght-for-age z<-2),Mali,2018,26.9,,,DHS
Malnutrition (wght-for-age z<-2),Myanmar,2016,29.2,,,DHS
Malnutrition (wght-for-age z<-2),Mauritania,2000,38.9,,,DHS
Malnutrition (wght-for-age z<-2),Mauritania,2020,25.8,,,DHS
Malnutrition (wght-for-age z<-2),Maldives,2009,18.9,,,DHS
Malnutrition (wght-for-age z<-2),Maldives,2016,15.3,,,DHS
Malnutrition (wght-for-age z<-2),Malawi,1992,55.2,,,DHS
Malnutrition (wght-for-age z<-2),Malawi,2000,54.6,,,DHS
Malnutrition (wght-for-age z<-2),Malawi,2004,52.5,,,DHS
Malnutrition (wght-for-age z<-2),Malawi,2010,47.1,,,DHS
Malnutrition (wght-for-age z<-2),Malawi,2015,37.1,,,DHS
Malnutrition (wght-for-age z<-2),Mozambique,1997,42.4,,,DHS
Malnutrition (wght-for-age z<-2),Mozambique,2003,47.0,,,DHS
Malnutrition (wght-for-age z<-2),Mozambique,2011,42.6,,,DHS
Malnutrition (wght-for-age z<-2),Mozambique,2022,36.7,,,DHS
Malnutrition (wght-for-age z<-2),Nicaragua,1998,30.2,,,DHS
Malnutrition (wght-for-age z<-2),Nicaragua,2001,24.9,,,DHS
Malnutrition (wght-for-age z<-2),Nigeria,1990,48.7,,,DHS
Malnutrition (wght-for-age z<-2),Nigeria,2003,42.4,,,DHS
Malnutrition (wght-for-age z<-2),Nigeria,2008,40.6,,,DHS
Malnutrition (wght-for-age z<-2),Nigeria,2013,36.8,,,DHS
Malnutrition (wght-for-age z<-2),Nigeria,2018,36.8,,,DHS
Malnutrition (wght-for-age z<-2),Niger,1992,45.2,,,DHS
Malnutrition (wght-for-age z<-2),Niger,1998,46.5,,,DHS
Malnutrition (wght-for-age z<-2),Niger,2006,54.8,,,DHS
Malnutrition (wght-for-age z<-2),Niger,2012,43.9,,,DHS
Malnutrition (wght-for-age z<-2),Namibia,1992,34.8,,,DHS
Malnutrition (wght-for-age z<-2),Namibia,2000,29.0,,,DHS
Malnutrition (wght-for-age z<-2),Namibia,2006,29.0,,,DHS
Malnutrition (wght-for-age z<-2),Namibia,2013,23.7,,,DHS
Malnutrition (wght-for-age z<-2),Nepal,1996,56.6,,,DHS
Malnutrition (wght-for-age z<-2),Nepal,2001,57.2,,,DHS
Malnutrition (wght-for-age z<-2),Nepal,2006,49.3,,,DHS
Malnutrition (wght-for-age z<-2),Nepal,2011,40.5,,,DHS
Malnutrition (wght-for-age z<-2),Nepal,2016,35.8,,,DHS
Malnutrition (wght-for-age z<-2),Nepal,2022,24.8,,,DHS
Malnutrition (wght-for-age z<-2),Peru,1992,37.1,,,DHS
Malnutrition (wght-for-age z<-2),Peru,1996,31.5,,,DHS
Malnutrition (wght-for-age z<-2),Peru,2004,29.3,,,DHS
Malnutrition (wght-for-age z<-2),Peru,2007,27.8,,,DHS
Malnutrition (wght-for-age z<-2),Peru,2009,23.8,,,DHS
Malnutrition (wght-for-age z<-2),Peru,2010,23.3,,,DHS
Malnutrition (wght-for-age z<-2),Peru,2011,19.5,,,DHS
Malnutrition (wght-for-age z<-2),Peru,2012,18.1,,,DHS
Malnutrition (wght-for-age z<-2),Pakistan,1991,54.3,,,DHS
Malnutrition (wght-for-age z<-2),Pakistan,2012,44.8,,,DHS
Malnutrition (wght-for-age z<-2),Pakistan,2017,37.6,,,DHS
Malnutrition (wght-for-age z<-2),Paraguay,1990,18.3,,,DHS
Malnutrition (wght-for-age z<-2),Rwanda,1992,56.8,,,DHS
Malnutrition (wght-for-age z<-2),Rwanda,2000,48.3,,,DHS
Malnutrition (wght-for-age z<-2),Rwanda,2005,51.1,,,DHS
Malnutrition (wght-for-age z<-2),Rwanda,2010,44.2,,,DHS
Malnutrition (wght-for-age z<-2),Rwanda,2015,37.9,,,DHS
Malnutrition (wght-for-age z<-2),Rwanda,2019,33.1,,,DHS
Malnutrition (wght-for-age z<-2),Sierra Leone,2008,36.4,,,DHS
Malnutrition (wght-for-age z<-2),Sierra Leone,2013,37.9,,,DHS
Malnutrition (wght-for-age z<-2),Sierra Leone,2019,29.5,,,DHS
Malnutrition (wght-for-age z<-2),Senegal,1993,29.5,,,DHS
Malnutrition (wght-for-age z<-2),Senegal,2005,19.6,,,DHS
Malnutrition (wght-for-age z<-2),Senegal,2010,26.5,,,DHS
Malnutrition (wght-for-age z<-2),Senegal,2012,18.7,,,DHS
Malnutrition (wght-for-age z<-2),Senegal,2014,18.7,,,DHS
Malnutrition (wght-for-age z<-2),Senegal,2015,20.5,,,DHS
Malnutrition (wght-for-age z<-2),Senegal,2016,17.0,,,DHS
Malnutrition (wght-for-age z<-2),Senegal,2017,16.5,,,DHS
Malnutrition (wght-for-age z<-2),Senegal,2018,18.8,,,DHS
Malnutrition (wght-for-age z<-2),Senegal,2019,17.9,,,DHS
Malnutrition (wght-for-age z<-2),Senegal,2023,17.5,,,DHS
Malnutrition (wght-for-age z<-2),Sao Tome and Principe,2008,29.3,,,DHS
Malnutrition (wght-for-age z<-2),Eswatini,2006,28.9,,,DHS
Malnutrition (wght-for-age z<-2),Chad,1997,44.5,,,DHS
Malnutrition (wght-for-age z<-2),Chad,2014,39.9,,,DHS
Malnutrition (wght-for-age z<-2),Togo,1998,28.7,,,DHS
Malnutrition (wght-for-age z<-2),Togo,2013,27.5,,,DHS
Malnutrition (wght-for-age z<-2),Tajikistan,2012,26.2,,,DHS
Malnutrition (wght-for-age z<-2),Tajikistan,2017,17.5,,,DHS
