risk_factor,country,year,value,confidence_intervals,sample_size,source
Malnutrition (wght-for-age z<-2),DMA,2017,17.8,,,WHO
Malnutrition (wght-for-age z<-2),ERI,2000,59.5,,,WHO
Malnutrition (wght-for-age z<-2),LBR,2015,42.1,,,WHO
Malnutrition (wght-for-age z<-2),SGP,2003,9.1,,,WHO
Malnutrition (wght-for-age z<-2),ISR,2000,3.2,,,WHO
Malnutrition (wght-for-age z<-2),BIH,2002,24.8,,,WHO
Malnutrition (wght-for-age z<-2),AUS,2011,11.6,,,WHO
Malnutrition (wght-for-age z<-2),QAT,2005,6.4,,,WHO
Malnutrition (wght-for-age z<-2),DEU,2010,2.1,,,WHO
Malnutrition (wght-for-age z<-2),PLW,2011,0.4,,,WHO
Malnutrition (wght-for-age z<-2),MUS,2019,10.8,,,WHO
Malnutrition (wght-for-age z<-2),MNE,2001,25.0,,,WHO
Malnutrition (wght-for-age z<-2),TUN,2005,20.2,,,WHO
Malnutrition (wght-for-age z<-2),BEN,2009,43.9,,,WHO
Malnutrition (wght-for-age z<-2),COM,2019,53.9,,,WHO
Malnutrition (wght-for-age z<-2),TJK,2006,36.0,,,WHO
Malnutrition (wght-for-age z<-2),USA,2010,5.8,,,WHO
Malnutrition (wght-for-age z<-2),DMA,2011,18.0,,,WHO
Malnutrition (wght-for-age z<-2),SEN,2010,76.5,,,WHO
Malnutrition (wght-for-age z<-2),DZA,2007,0.5,,,WHO
Malnutrition (wght-for-age z<-2),KNA,2009,23.7,,,WHO
Malnutrition (wght-for-age z<-2),CIV,2009,74.6,,,WHO
Malnutrition (wght-for-age z<-2),BRB,2010,21.9,,,WHO
Malnutrition (wght-for-age z<-2),MDA,2004,21.8,,,WHO
Malnutrition (wght-for-age z<-2),FRA,2005,10.9,,,WHO
Malnutrition (wght-for-age z<-2),MUS,2009,0.4,,,WHO
Malnutrition (wght-for-age z<-2),TCD,2000,9.0,,,WHO
Malnutrition (wght-for-age z<-2),MNE,2019,3.1,,,WHO
Malnutrition (wght-for-age z<-2),GRC,2006,0.1,,,WHO
Malnutrition (wght-for-age z<-2),MHL,2003,1.1,,,WHO
Malnutrition (wght-for-age z<-2),ECU,2017,23.7,,,WHO
Malnutrition (wght-for-age z<-2),MHL,2004,23.0,,,WHO
Malnutrition (wght-for-age z<-2),LUX,2012,8.1,,,WHO
Malnutrition (wght-for-age z<-2),TLS,2003,22.5,,,WHO
Malnutrition (wght-for-age z<-2),VNM,2011,21.4,,,WHO
Malnutrition (wght-for-age z<-2),ITA,2006,9.7,,,WHO
Malnutrition (wght-for-age z<-2),BRB,2009,22.1,,,WHO
Malnutrition (wght-for-age z<-2),RUS,2006,8.7,,,WHO
Malnutrition (wght-for-age z<-2),NRU,2019,41.8,,,WHO
Malnutrition (wght-for-age z<-2),ATG,2007,22.6,,,WHO
Malnutrition (wght-for-age z<-2),MDV,2016,24.8,,,WHO
Malnutrition (wght-for-age z<-2),GRD,2018,23.6,,,WHO
Malnutrition (wght-for-age z<-2),NAM,2008,46.4,,,WHO
Malnutrition (wght-for-age z<-2),BFA,2017,7.6,,,WHO
Malnutrition (wght-for-age z<-2),GAB,2004,66.4,,,WHO
Malnutrition (wght-for-age z<-2),BIH,2012,6.2,,,WHO
Malnutrition (wght-for-age z<-2),BLZ,2019,15.1,,,WHO
Malnutrition (wght-for-age z<-2),BRA,2010,11.7,,,WHO
Malnutrition (wght-for-age z<-2),IRQ,2014,28.0,,,WHO
Malnutrition (wght-for-age z<-2),COG,2010,34.8,,,WHO
Malnutrition (wght-for-age z<-2),ETH,2003,62.4,,,WHO
Malnutrition (wght-for-age z<-2),ZMB,2000,37.2,,,WHO
Malnutrition (wght-for-age z<-2),ECU,2012,0.2,,,WHO
Malnutrition (wght-for-age z<-2),UGA,2003,6.3,,,WHO
Malnutrition (wght-for-age z<-2),DEU,2018,0.0,,,WHO
Malnutrition (wght-for-age z<-2),USA,2005,5.9,,,WHO
Malnutrition (wght-for-age z<-2),COD,2008,41.6,,,WHO
Malnutrition (wght-for-age z<-2),GRD,2016,16.3,,,WHO
Malnutrition (wght-for-age z<-2),GNB,2004,7.2,,,WHO
Malnutrition (wght-for-age z<-2),DJI,2005,23.4,,,WHO
Malnutrition (wght-for-age z<-2),USA,2017,5.9,,,WHO
Malnutrition (wght-for-age z<-2),WPR,2016,0.3,,,WHO
Malnutrition (wght-for-age z<-2),COM,2012,54.1,,,WHO
Malnutrition (wght-for-age z<-2),USA,2000,6.2,,,WHO
Malnutrition (wght-for-age z<-2),CMR,2015,33.3,,,WHO
Malnutrition (wght-for-age z<-2),POL,2013,16.9,,,WHO
Malnutrition (wght-for-age z<-2),ZMB,2008,2.8,,,WHO
Malnutrition (wght-for-age z<-2),MRT,2007,71.2,,,WHO
Malnutrition (wght-for-age z<-2),LVA,2017,4.4,,,WHO
Malnutrition (wght-for-age z<-2),ALB,2015,25.5,,,WHO
Malnutrition (wght-for-age z<-2),POL,2018,13.1,,,WHO
Malnutrition (wght-for-age z<-2),CZE,2003,0.1,,,WHO
Malnutrition (wght-for-age z<-2),BLZ,2007,6.9,,,WHO
Malnutrition (wght-for-age z<-2),NAM,2009,24.0,,,WHO
Malnutrition (wght-for-age z<-2),AMR,2007,20.9,,,WHO
Malnutrition (wght-for-age z<-2),BRA,2004,14.4,,,WHO
Malnutrition (wght-for-age z<-2),SVK,2019,6.4,,,WHO
Malnutrition (wght-for-age z<-2),MYS,2013,15.9,,,WHO
Malnutrition (wght-for-age z<-2),EGY,2002,39.8,,,WHO
Malnutrition (wght-for-age z<-2),VEN,2011,17.1,,,WHO
Malnutrition (wght-for-age z<-2),SYC,2000,0.5,,,WHO
Malnutrition (wght-for-age z<-2),MCO,2018,2.5,,,WHO
Malnutrition (wght-for-age z<-2),RUS,2013,22.7,,,WHO
Malnutrition (wght-for-age z<-2),15,2015,36.9,,,WHO
Malnutrition (wght-for-age z<-2),STP,2010,31.7,,,WHO
Malnutrition (wght-for-age z<-2),HRV,2011,14.0,,,WHO
Malnutrition (wght-for-age z<-2),TZA,2013,1.8,,,WHO
Malnutrition (wght-for-age z<-2),AGO,2010,61.0,,,WHO
Malnutrition (wght-for-age z<-2),TCD,2019,35.8,,,WHO
Malnutrition (wght-for-age z<-2),SLB,2006,46.0,,,WHO
Malnutrition (wght-for-age z<-2),JPN,2015,2.8,,,WHO
Malnutrition (wght-for-age z<-2),BEN,2008,44.7,,,WHO
Malnutrition (wght-for-age z<-2),TZA,2011,1.9,,,WHO
Malnutrition (wght-for-age z<-2),ISL,2001,9.9,,,WHO
Malnutrition (wght-for-age z<-2),MUS,2012,0.3,,,WHO
Malnutrition (wght-for-age z<-2),BRA,2012,5.0,,,WHO
Malnutrition (wght-for-age z<-2),TUR,2012,0.2,,,WHO
Malnutrition (wght-for-age z<-2),LTU,2016,4.2,,,WHO
Malnutrition (wght-for-age z<-2),IRQ,2011,29.0,,,WHO
Malnutrition (wght-for-age z<-2),ROU,2016,0.2,,,WHO
Malnutrition (wght-for-age z<-2),UKR,2019,7.3,,,WHO
Malnutrition (wght-for-age z<-2),MEX,2004,11.7,,,WHO
Malnutrition (wght-for-age z<-2),MLI,2004,19.0,,,WHO
Malnutrition (wght-for-age z<-2),SSD,2015,2.9,,,WHO
Malnutrition (wght-for-age z<-2),ROU,2010,0.4,,,WHO
Malnutrition (wght-for-age z<-2),ESP,2002,11.8,,,WHO
Malnutrition (wght-for-age z<-2),DJI,2016,24.5,,,WHO
Malnutrition (wght-for-age z<-2),JOR,2013,0.2,,,WHO
Malnutrition (wght-for-age z<-2),USA,2014,0.0,,,WHO
Malnutrition (wght-for-age z<-2),URY,2002,23.8,,,WHO
Malnutrition (wght-for-age z<-2),COK,2014,0.1,,,WHO
Malnutrition (wght-for-age z<-2),SLV,2004,23.3,,,WHO
Malnutrition (wght-for-age z<-2),TUV,2000,23.0,,,WHO
Malnutrition (wght-for-age z<-2),NIC,2013,4.4,,,WHO
Malnutrition (wght-for-age z<-2),UZB,2001,47.6,,,WHO
Malnutrition (wght-for-age z<-2),PHL,2016,8.0,,,WHO
Malnutrition (wght-for-age z<-2),BLR,2005,0.2,,,WHO
Malnutrition (wght-for-age z<-2),ETH,2008,53.8,,,WHO
Malnutrition (wght-for-age z<-2),SEN,2003,82.1,,,WHO
Malnutrition (wght-for-age z<-2),IND,2012,58.0,,,WHO
Malnutrition (wght-for-age z<-2),GRC,2007,13.3,,,WHO
Malnutrition (wght-for-age z<-2),ISL,2005,7.8,,,WHO
Malnutrition (wght-for-age z<-2),ARG,2005,0.5,,,WHO
Malnutrition (wght-for-age z<-2),CYP,2018,14.2,,,WHO
Malnutrition (wght-for-age z<-2),AFG,2012,1.7,,,WHO
Malnutrition (wght-for-age z<-2),BGR,2018,17.0,,,WHO
Malnutrition (wght-for-age z<-2),MOZ,2006,68.7,,,WHO
Malnutrition (wght-for-age z<-2),CUB,2006,5.6,,,WHO
Malnutrition (wght-for-age z<-2),TZA,2010,26.8,,,WHO
Malnutrition (wght-for-age z<-2),CHL,2007,13.9,,,WHO
Malnutrition (wght-for-age z<-2),SLV,2014,0.1,,,WHO
Malnutrition (wght-for-age z<-2),EST,2004,20.7,,,WHO
Malnutrition (wght-for-age z<-2),BIH,2014,23.1,,,WHO
Malnutrition (wght-for-age z<-2),EST,2002,15.0,,,WHO
Malnutrition (wght-for-age z<-2),TZA,2011,61.0,,,WHO
Malnutrition (wght-for-age z<-2),BOL,2002,24.0,,,WHO
Malnutrition (wght-for-age z<-2),SEAR,2004,31.3,,,WHO
Malnutrition (wght-for-age z<-2),ARG,2019,0.4,,,WHO
Malnutrition (wght-for-age z<-2),TTO,2009,0.4,,,WHO
Malnutrition (wght-for-age z<-2),SVK,2007,21.9,,,WHO
Malnutrition (wght-for-age z<-2),GRC,2007,13.3,,,WHO
Malnutrition (wght-for-age z<-2),RWA,2013,0.5,,,WHO
Malnutrition (wght-for-age z<-2),513,2005,13.3,,,WHO
Malnutrition (wght-for-age z<-2),CHE,2013,11.8,,,WHO
Malnutrition (wght-for-age z<-2),MCO,2003,11.7,,,WHO
Malnutrition (wght-for-age z<-2),MNE,2008,0.3,,,WHO
Malnutrition (wght-for-age z<-2),ZWE,2001,22.5,,,WHO
Malnutrition (wght-for-age z<-2),USA,2001,0.8,,,WHO
Malnutrition (wght-for-age z<-2),CUB,2014,16.2,,,WHO
Malnutrition (wght-for-age z<-2),GLOBAL,2002,46.5,,,WHO
Malnutrition (wght-for-age z<-2),CAF,2004,20.6,,,WHO
Malnutrition (wght-for-age z<-2),DZA,2012,21.0,,,WHO
Malnutrition (wght-for-age z<-2),CHN,2016,13.6,,,WHO
Malnutrition (wght-for-age z<-2),AGO,2008,2.2,,,WHO
Malnutrition (wght-for-age z<-2),BFA,2017,80.1,,,WHO
Malnutrition (wght-for-age z<-2),COG,2012,34.3,,,WHO
Malnutrition (wght-for-age z<-2),MYS,2016,22.5,,,WHO
Malnutrition (wght-for-age z<-2),COG,2011,64.6,,,WHO
Malnutrition (wght-for-age z<-2),SWZ,2011,19.0,,,WHO
Malnutrition (wght-for-age z<-2),NIC,2013,17.8,,,WHO
Malnutrition (wght-for-age z<-2),KGZ,2008,35.9,,,WHO
Malnutrition (wght-for-age z<-2),BGD,2004,25.5,,,WHO
Malnutrition (wght-for-age z<-2),URY,2005,0.3,,,WHO
Malnutrition (wght-for-age z<-2),SDN,2013,26.2,,,WHO
Malnutrition (wght-for-age z<-2),MEX,2007,10.8,,,WHO
Malnutrition (wght-for-age z<-2),AND,2003,2.7,,,WHO
Malnutrition (wght-for-age z<-2),SWE,2010,12.1,,,WHO
Malnutrition (wght-for-age z<-2),BLZ,2003,17.2,,,WHO
Malnutrition (wght-for-age z<-2),SMR,2010,0.0,,,WHO
Malnutrition (wght-for-age z<-2),KWT,2002,5.5,,,WHO
Malnutrition (wght-for-age z<-2),2,2016,57.9,,,WHO
Malnutrition (wght-for-age z<-2),SVK,2001,22.7,,,WHO
Malnutrition (wght-for-age z<-2),IRL,2016,13.2,,,WHO
Malnutrition (wght-for-age z<-2),GRD,2001,24.3,,,WHO
Malnutrition (wght-for-age z<-2),PLW,2001,21.2,,,WHO
Malnutrition (wght-for-age z<-2),URY,2017,0.1,,,WHO
Malnutrition (wght-for-age z<-2),VUT,2004,10.7,,,WHO
Malnutrition (wght-for-age z<-2),KHM,2002,63.6,,,WHO
Malnutrition (wght-for-age z<-2),MLT,2014,3.3,,,WHO
Malnutrition (wght-for-age z<-2),CHN,2002,25.8,,,WHO
Malnutrition (wght-for-age z<-2),SUR,2014,27.0,,,WHO
Malnutrition (wght-for-age z<-2),DEU,2008,0.0,,,WHO
Malnutrition (wght-for-age z<-2),LKA,2004,0.3,,,WHO
Malnutrition (wght-for-age z<-2),CYP,2009,10.4,,,WHO
Malnutrition (wght-for-age z<-2),CIV,2016,24.6,,,WHO
