Country,Sub_Region,Population_0_14,Child Mortality Rate (U5MR),Exclusive breastfeeding under 6 months (%),Low birth weight (=<2500 g),Malnutrition (wght-for-age z<-2),Use solid fuels (yes),Wasting prevalence among children under 5 years
Nigeria,SSA - High Child Mortality,95430801.70506933,104.9,26.925,,24.4,1.08,11.5
North Korea,,5020759.000000002,18.0,71.4,,9.3,8.5,2.4608695652173913
North Macedonia,ECA - Medium Child Mortality,301493.550344513,3.3,27.52,8.29205809,0.9,5.17,3.3980582524271843
Norway,ECA - Low Child Mortality,902081.1376860001,2.4,,4.44297773,,50.61,
Oman,MENA - Medium Child Mortality,1305323.000000001,10.4,23.2,13.23588907,11.2,0.33,9.488
Pakistan,SA - High Child Mortality,92177916.50000009,58.5,47.655,,23.1,9.25,6.95578947368421
Palau,EAP - Medium Child Mortality,3228.408776242542,22.3,,13.52511019,,,
Palestine,,2012369.245439174,26.3,38.9,10.37288765,2.1,,1.313592233009709
Panama,LAC - Medium Child Mortality,1124149.4999999984,13.3,21.46,10.2837361,2.9,17.28,1.2675324675324677
Papua New Guinea,EAP - High Child Mortality,3540960.667397537,40.3,59.68,19.38028308,27.8,,14.011688311688314
Paraguay,LAC - Medium Child Mortality,1980900.9999999995,17.0,29.59,9.960016952,1.3,53.41,0.9326315789473684
Peru,LAC - Medium Child Mortality,8202156.619852025,15.8,65.34,7.471594891,2.7,10.24,0.573404255319149
Philippines,EAP - Medium Child Mortality,32283392.139340397,26.9,54.9,21.14414662,16.7,16.05,5.577011494252873
Poland,ECA - Medium Child Mortality,5412209.674659731,4.4,,5.606949229,0.7,3.38,0.7692307692307693
Portugal,ECA - Medium Child Mortality,1369961.392630277,3.2,,8.922583683,0.9,14.92,1.0916666666666668
Qatar,MENA - Low Child Mortality,430695.01287714863,6.0,29.33,9.955851859,2.3,0.12,1.5916666666666668
Romania,ECA - Medium Child Mortality,2996892.616700484,6.6,15.8,8.817817845,3.5,15.51,3.3974025974025976
Russia,ECA,24800268.698397085,4.5,,7.268242008,,9.45,3.3642857142857143
Rwanda,SSA - Medium Child Mortality,5326367.186803986,40.0,80.9,9.398525709,7.7,0.97,1.1221052631578947
Samoa,EAP - Medium Child Mortality,83859.30767890028,15.7,70.3,,3.4,,3.0115384615384615
San Marino,,4164.537446770492,1.4,,4.244335446,,,
Sao Tome and Principe,SSA - Low Child Mortality,89099.31085840196,13.9,63.06,11.11475279,5.4,,4.003809523809523
Saudi Arabia,MENA - Low Child Mortality,8408026.131364202,6.2,,,3.5,0.09,3.9
Senegal,SSA - Low Child Mortality,7064495.309088177,38.5,40.82,17.24938655,16.2,1.53,10.16842105263158
Serbia,ECA - Medium Child Mortality,942696.5593805208,5.2,23.63,6.202315972,1.0,5.09,2.623300970873786
Seychelles,SSA - Low Child Mortality,24211.527352331137,14.3,,12.4838294,3.8,,4.3125
