country,Exclusive breastfeeding under 6 months (%),Low birth weight (≤2500g),Malnutrition (weight-for-age < -2 SD),Population ages 0-4 (number),Solid fuel use (%),Under-5 mortality rate (per 1000),Wasting prevalence (children under 5)
IDA total,,,,,18.71,60.6170528832606,
Iceland,,3.992822369,,12017.0,88.81,2.6,
India,58.0,27.43525934,31.5,59504265.0,4.12,27.7,18.7
Indonesia,50.67,9.934186169,15.9,11477133.0,11.51,20.6,8.0
Iran,53.1,,,3180817.0,,,3.4
"Iran, Islamic Rep.",,,4.3,,1.14,11.8,
Iraq,25.82,10.8613574,3.9,2850738.0,0.37,22.6,1.9
Ireland,,5.645686692,0.5,150321.0,8.94,3.8,0.4
Isle of Man,,,,1754.0,,,
Israel,,8.983944543,,448983.0,5.44,3.4,
Italy,,7.21055095,,1062731.0,9.95,2.8,
Jamaica,23.78,13.68120587,2.5,84197.0,1.63,19.3,2.3
Japan,,11.30468889,3.4,2122562.0,10.77,2.4,2.4
Jordan,25.4,18.93666383,2.5,594793.0,7.69,13.2,1.7
Kazakhstan,37.77,5.291126034,2.0,1089401.0,1.68,9.6,3.1
Kenya,61.39,9.971119457,9.8,3544074.0,18.67,39.9,4.2
Kiribati,63.59,9.031391662,6.9,16280.999999999998,,55.1,2.2
"Korea, Dem. People's Rep.",,,9.3,,8.5,18.0,
"Korea, Rep.",,7.463083879,0.4,,18.46,2.8,
Kosovo,,,,53251.0,0.519176378508478,9.1,
Kuwait,,14.36604616,2.8,134777.0,0.08,8.8,3.3
Kyrgyz Republic,45.56,6.037714249,2.9,404413.0,22.8,17.0,1.8
Lao PDR,,16.73231578,24.3,,54.17,39.0,
Laos,44.38,,,406553.0,,,12.2
Late-demographic dividend,,6.93555854618097,,,15.177040331854,9.4859784770801,
Latin America & Caribbean,,9.63857656679412,2.74,,13.5225039223214,15.9,
Latin America & Caribbean (excluding high income),,9.69750453379829,,,13.3294358275678,15.6898942523118,
Latin America & the Caribbean (IDA & IBRD countries),,9.66468486110308,,,13.5225039223214,15.9445520792666,
Latvia,,4.232556976,0.3,44980.0,8.79,3.0,1.7
Least developed countries: UN classification,,,,,4.0668089529529,56.8975930422039,
Lebanon,,12.59960101,5.1,232520.0,6.6,18.3,2.3
Lesotho,59.01,14.44742354,12.5,134213.0,,58.9,0.0
Liberia,55.23,19.8812653,10.9,391567.0,,72.9,2.5
Libya,,,4.3,330753.0,0.0,30.8,3.5
Liechtenstein,,,,964.0,,,
Lithuania,,4.397884914,1.1,65617.0,4.51,3.4,4.9
Low & middle income,,15.6307238954829,13.74,,13.9319533601456,40.0195748267782,
Low income,,,18.02,,3.5718690401032,62.3,
Lower middle income,,21.1025774612726,17.74,,18.71,43.5,
Luxembourg,,7.74989029,,17359.0,2.55,2.3,
Macau,,,,15024.0,,,
Madagascar,50.62,18.71212047,22.6,2326898.0,0.8,64.8,7.9
Malawi,59.44,15.57640226,12.8,1543873.0,,38.3,1.9
Malaysia,40.3,13.81137628,15.3,1167454.0,2.88,8.1,11.0
Maldives,63.03,13.71833802,14.8,15999.0,,5.7,6.5
Mali,40.46,,15.0,2101570.0,,91.3,4.3
Malta,,7.184098646,0.7,11531.0,3.81,5.5,0.3
Marshall Islands,43.12,,11.9,4287.0,,28.2,3.5
Martinique,,,,7958.0,,,
Mauritania,40.3,,22.4,404941.0,,37.8,13.6
Mauritius,,18.69435005,13.0,29787.0,1.48,15.2,15.7
Mayotte,,,,25210.0,,,
Mexico,27.14,10.15384708,4.2,10309425.0,5.94,12.5,0.0
"Micronesia, Fed. Sts.",,,,12130.0,,23.1,
"Middle East, North Africa, Afghanistan & Pakistan",,,4.53,,5.41,20.0,
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",,,,,2.56653885586303,39.2299842065779,
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",,,,,2.56653885586303,39.1207393207127,
Middle income,,15.8661617112279,12.66,,13.9319533601456,34.2836220751397,
Moldova,36.37,6.470493286,2.2,92056.0,1.78,14.7,2.2
Monaco,,6.824647135,,925.0,,2.7,
Mongolia,58.0,4.896474513,1.9,180355.0,1.01,13.6,2.7
Montenegro,19.52,6.231987721,3.7,19052.0,20.56,2.6,2.0
Montserrat,,,,119.0,,,
Morocco,35.0,14.76651824,3.0,1624002.0,4.92,16.6,2.4
Mozambique,41.0,17.76020276,15.4,2849450.0,11.93,61.7,4.2
Myanmar,51.24,12.48430117,19.5,2279294.0,3.7,38.7,7.4
Namibia,48.32,15.58151943,13.2,204609.0,5.88,40.7,7.8
Nauru,67.2,,3.8,1488.0,,8.9,0.0
Nepal,62.14,19.73151245,18.3,1431934.0,6.78,26.5,7.2
Netherlands,,5.651838859,1.0,455555.0,9.01,4.0,1.0
New Caledonia,,,,20759.0,,,
New Zealand,,5.857246489,,298070.0,39.68,4.7,
Nicaragua,31.7,10.09621863,4.6,657209.0,17.03,13.4,1.0
Niger,21.61,,34.6,2369724.0,0.05,114.8,10.9
Nigeria,28.68,,24.4,16969739.0,1.08,104.9,11.6
Niue,,,,123.0,,,
North America,,8.11274994250575,0.74,,14.6553612049329,6.4,
North Korea,71.4,,,878985.0,,,3.0
North Macedonia,27.52,8.29205809,0.9,49342.0,7.2,3.3,3.2
Northern Mariana Islands,,,,3078.0,,,
Norway,,4.44297773,,141764.0,48.17,2.4,
OECD members,,8.69340784140634,,,15.9886276844832,6.89826215836792,
Oman,23.2,13.23588907,11.2,217885.0,0.33,10.4,9.6
Other small states,,13.8973446787763,,,55.8794405062165,29.5328321926962,
Pacific island small states,,10.9351607489717,,,,23.5016798798031,
Pakistan,47.47,,23.1,16257247.0,9.25,58.5,5.0
Palau,,13.52511019,,984.0,,22.3,
Palestine,38.9,,,368490.0,,,0.8
Panama,21.46,10.2837361,2.9,359781.0,17.28,13.3,0.5
Papua New Guinea,59.68,19.38028308,27.8,1228693.0,,40.3,7.2
Paraguay,29.59,9.960016952,1.3,679264.0,63.56,17.0,0.7
Peru,65.34,7.471594891,2.7,2691868.0,10.24,15.8,0.6
Philippines,54.9,21.14414662,16.7,4941717.0,16.05,26.9,4.9
Poland,,5.606949229,0.7,911223.0,3.47,4.4,0.0
Portugal,,8.922583683,0.9,218632.0,14.87,3.2,1.1
Post-demographic dividend,,7.81320789937134,,,16.642580384956,4.83396559578023,
Pre-demographic dividend,,,,,18.71,71.1757086663576,
Puerto Rico,,,,50264.0,,,
Qatar,29.33,9.955851859,2.3,79315.0,0.12,6.0,1.6
Reunion,,,,29611.0,,,
Romania,15.8,8.817817845,3.5,488414.0,17.51,6.6,3.5
Russia,,,,3700546.0,,,3.3
Russian Federation,,7.268242008,,,9.45,4.5,
Rwanda,80.9,9.398525709,7.7,948116.0,0.97,40.0,2.0
Saint-Martin,,,,945.0,,,
Samoa,70.3,,3.4,28284.0,,15.7,0.6
San Marino,,4.244335446,,573.0,,1.4,
Sao Tome and Principe,63.06,11.11475279,5.4,15504.0,,13.9,2.6
Saudi Arabia,,,3.5,1333323.0,0.09,6.2,3.9
Senegal,40.82,17.24938655,16.2,1264266.0,1.58,38.5,10.9
Serbia,23.63,6.202315972,1.0,159918.0,7.3,5.2,1.1
Seychelles,,12.4838294,3.8,4527.0,,14.3,4.2
Sierra Leone,53.99,10.3436843,12.0,587328.0,,94.3,6.3
Singapore,,10.95095201,3.3,116469.0,0.38,2.1,14.0
Sint Maarten,,,,949.0,,,
Slovak Republic,,7.822980555,,,31.93,6.1,
Slovakia,,,,145118.0,,,
Slovenia,,6.290086,,49343.0,32.52,2.2,
Small states,,13.7778980929513,,,55.8794405062165,26.1448546234728,
Solomon Islands,76.2,13.23393119,16.2,103682.0,,20.6,11.8
Somalia,33.7,,,1733407.0,,,16.1
"Somalia, Fed. Rep.",,,22.5,,,104.0,
South Africa,31.61,16.63838895,4.9,2960034.0,3.58,34.7,3.6
South Asia,,26.6280032820772,24.39,,4.24746883024466,34.8,
South Asia (IDA & IBRD),,26.6280032820772,,,4.24746883024466,27.7817347409609,
South Korea,,,,697519.0,,,0.2
South Sudan,44.54,,27.7,751473.0,0.4,98.7,18.1
Spain,,9.638991015,,906284.0,25.18,3.1,
Sri Lanka,80.93,17.97828986,17.1,834503.0,6.72,6.1,9.3
